grid_id,lon,lat,flare_label_ever,mean_risk,max_risk,active_months_validation_f1,strict_active_months,discovery_active_months,post_max_risk,post_mean_risk,post_strict_active_months,post_discovery_active_months,oilgas_candidate_ever
16991,44.35477,35.525383,0,0.6262284086159594,1.0,62,83,84,1.0,0.7008477854090971,34,35,1
17232,44.3547,35.5344,0,0.6335805975522857,0.9459459459459459,62,84,84,0.9459459459459459,0.7666867603078298,35,35,1
9005,44.423,35.237194,0,0.7172938965749741,0.9459459459459459,51,55,60,0.9459459459459459,0.5132274421983639,18,23,1
16750,44.343815,35.516308,0,0.5978758710251381,0.9421965317919075,69,83,84,0.9421965317919075,0.608079280166875,34,35,1
15776,44.145702,35.479,0,0.345025778889758,0.9421965317919075,32,75,84,0.9421965317919075,0.36041757986197637,33,35,1
9006,44.43399,35.237247,0,0.7321271412782158,0.9459459459459459,73,81,84,0.9421965317919075,0.6093993245757302,32,35,1
15778,44.167747,35.47916,0,0.2944341023355622,0.9421965317919075,18,48,60,0.9421965317919075,0.48894751589958185,22,23,1
56020,44.423,35.237194,0,0.4359292248924112,0.9421965317919075,14,24,24,0.9421965317919075,0.37478031881233526,12,12,1
63065,45.005524,35.671375,0,0.37111013902135254,0.9421965317919075,10,23,24,0.9421965317919075,0.5213216754704698,11,12,1
14295,44.212364,35.425358,0,0.6400912468125092,0.9421965317919075,76,84,84,0.93125,0.567074033132817,35,35,1
21537,43.867123,35.693092,0,0.6177721587620062,0.93125,53,60,60,0.93125,0.587709982926754,23,23,1
21539,43.88922,35.6933,0,0.5038635818989372,0.93125,42,52,60,0.93125,0.5808564263961964,22,23,1
19600,44.00063,35.622147,0,0.6484782143132345,0.93125,48,58,60,0.93125,0.6326717767090614,21,23,1
20810,43.977974,35.667038,0,0.4455638279114639,0.93125,37,56,60,0.93125,0.4143664551454572,20,23,1
9503,44.422874,35.255226,0,0.6879437569595701,0.9421965317919075,54,57,60,0.93125,0.5054753619886688,20,23,1
56320,44.42287,35.255226,0,0.60835728827464,0.93125,20,24,24,0.93125,0.6318899146176352,12,12,1
63439,43.867123,35.693092,0,0.7520844631274352,0.93125,24,24,24,0.93125,0.7380728113420463,12,12,1
15308,44.366295,35.46233,0,0.16333640743161365,0.8846153846153846,9,32,60,0.8846153846153846,0.30922282992443356,15,23,1
63294,43.889347,35.684284,0,0.6476346940145161,0.8571428571428571,23,24,24,0.8571428571428571,0.688992173185496,12,12,1
40944,43.07762,36.80081,0,0.620021351524814,0.75,76,83,84,0.738562091503268,0.6255464442083535,35,35,1
41058,43.077396,36.809822,0,0.6082526543180564,0.93125,74,84,84,0.738562091503268,0.6126197748541736,35,35,1
16749,44.332787,35.516247,0,0.5293627972567048,0.9459459459459459,61,83,84,0.738562091503268,0.43118645788302623,34,35,1
17471,44.343594,35.543354,0,0.5480298196681319,0.738562091503268,70,83,84,0.738562091503268,0.49453719126327644,34,35,1
22066,44.03267,35.712566,0,0.40171049036766376,0.75,46,81,84,0.738562091503268,0.39843350038521574,33,35,1
22067,44.04372,35.712658,0,0.3253284583906209,0.738562091503268,31,78,84,0.738562091503268,0.3156775003053781,31,35,1
17470,44.33256,35.543297,0,0.5760713596841739,0.738562091503268,52,60,60,0.738562091503268,0.5789268635610967,23,23,1
41178,43.05476,36.818466,0,0.5562997039187738,0.93125,48,60,60,0.738562091503268,0.5525046097465143,23,23,1
41179,43.065964,36.81865,0,0.6131846678981044,0.93125,53,60,60,0.738562091503268,0.6125567805014862,23,23,1
41180,43.07717,36.818832,0,0.5018250699924576,0.93125,42,59,60,0.738562091503268,0.4453439847882132,23,23,1
16257,44.156536,35.497112,0,0.21507464005310573,0.738562091503268,12,51,60,0.738562091503268,0.2895305713031729,22,23,1
21291,43.889347,35.684284,0,0.5169988079656047,0.738562091503268,45,52,60,0.738562091503268,0.5093525858526953,22,23,1
20567,43.97809,35.65802,0,0.28639681656507254,0.93125,32,56,84,0.738562091503268,0.17091186767669028,16,35,1
63441,43.88922,35.6933,0,0.6308537284083672,0.738562091503268,22,24,24,0.738562091503268,0.6828898198035328,12,12,1
60510,44.38799,35.507523,0,0.1635601471699025,0.738562091503268,4,12,24,0.738562091503268,0.24701292536966965,8,12,1
75258,43.065964,36.81865,0,0.4945178084106532,0.738562091503268,17,23,24,0.727569675298564,0.5876589532976587,12,12,1
20568,43.989136,35.658115,0,0.10873381554740545,0.7269201659284282,8,19,60,0.7269201659284282,0.11130890412266824,6,23,1
20811,43.98902,35.66713,0,0.08143485704140582,0.7142857142857143,7,12,60,0.7142857142857143,0.09522467436191832,6,23,1
29187,43.75211,35.98045,0,0.4310968540406151,0.738562091503268,38,52,60,0.6956521739130435,0.4024477094039312,22,23,1
29186,43.74102,35.980335,0,0.3564953834480047,0.6956521739130435,28,50,60,0.6956521739130435,0.2933173399800033,20,23,1
13791,44.234562,35.407467,0,0.1857979139367402,0.6956521739130435,6,49,60,0.6956521739130435,0.23569600207311617,19,23,1
14548,44.223293,35.434444,0,0.1359847238068526,0.6956521739130435,2,47,60,0.6956521739130435,0.19320867602171746,19,23,1
20808,43.95588,35.666847,0,0.21578684288431757,0.738562091503268,21,49,84,0.6956521739130435,0.1368235890301599,15,35,1
21045,43.878426,35.675167,0,0.23098921895773772,0.6956521739130435,16,37,60,0.6956521739130435,0.28549628662910037,15,23,1
35101,43.758095,36.305058,0,0.5261844993069394,0.9421965317919075,43,52,60,0.6956521739130435,0.23225802574122736,15,23,1
61093,44.33256,35.543297,0,0.4935207299483885,0.6956521739130435,18,24,24,0.6956521739130435,0.4860242464440658,12,12,1
75257,43.05476,36.818466,0,0.4280551924562827,0.6956521739130435,14,23,24,0.6956521739130435,0.5053683805225595,12,12,1
75259,43.077168,36.818832,0,0.4249152019467967,0.738562091503268,14,22,24,0.6956521739130435,0.4673976912565943,12,12,1
22858,44.03234,35.739613,0,0.03596028091716182,0.6956521739130435,1,22,84,0.6956521739130435,0.039031026703096904,8,35,1
63150,43.87843,35.675167,0,0.32462722232750724,0.738562091503268,9,16,24,0.6956521739130435,0.29280973970261764,7,12,1
22859,44.043396,35.7397,0,0.026964112564641048,0.6956521739130435,1,12,84,0.6956521739130435,0.03096205309621853,4,35,1
21052,43.95576,35.67586,0,0.04744193372585726,0.6956521739130435,4,6,59,0.6956521739130435,0.04054728986507549,2,23,1
32321,43.793995,36.143154,0,0.43139292704201826,0.93125,49,71,84,0.6738197424892703,0.2606722018872581,26,35,1
