spec,mean_pr_auc,mean_roc_auc,mean_brier,folds
full,0.27059685480394435,0.9489157414314834,0.006770336057643836,5
no_coordinates,0.27054757606307694,0.9463430661015826,0.022559104303511414,5
reduced,0.26666904722976487,0.9474073701111021,0.023269041637594544,5
