cntry_name,cntry_iso,catalog_id,id_number,lat,lon,flr_volume,avg_temp,ellip,dtc_freq,clr_obs,flr_type,year,flare_year_date
Iraq,IRQ,VNF_e2012-2015_n17911_x0476683E_y304553N_v1.0,,30.455334,47.668298,0.148299868,1681.54,1.236,96.9388,294,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17770_x0443445E_y334885N_v1.0,,33.488527,44.344495,0.14593343,1724.2,1.29029,97.7679,224,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17881_x0474437E_y304252N_v1.0,,30.425163,47.443667,0.141485863,1711.92,1.28437,84.9057,318,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17865_x0473348E_y304019N_v1.0,,30.40192,47.334762,0.138752512,1640.64,1.0116,97.8261,322,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17873_x0474063E_y321206N_v1.0,,32.120627,47.406286,0.135176142,1714.22,1.40158,96.9283,293,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17880_x0474462E_y320603N_v1.0,,32.060303,47.446236,0.12821772,1678.11,1.34586,96.0699,229,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17697_x0434921E_y350019N_v1.0,,35.001888,43.492053,0.127845524,1584.84,0.904734,99.0385,312,refinery,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17731_x0439658E_y356623N_v1.0,,35.662282,43.965827,0.127589272,1742.71,1.09205,99.6904,323,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17755_x0442174E_y353852N_v1.0,,35.385199,44.217423,0.096141936,1629.24,0.945812,98.7055,309,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17762_x0442685E_y355564N_v1.0,,35.556386,44.268455,0.096046538,1697.27,1.42202,98.4472,322,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17735_x0440367E_y357269N_v1.0,,35.726881,44.036682,0.090207346,1644.65,1.03023,98.4326,319,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17868_x0473487E_y303144N_v1.0,,30.31444,47.348702,0.087307563,1642.07,0.906882,97.4603,315,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17872_x0474054E_y323688N_v1.0,,32.368823,47.405409,0.085626223,1643.87,1.12522,98.8889,270,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17771_x0443748E_y355115N_v1.0,,35.511452,44.37475,0.085183287,1723.13,1.7001,98.1191,319,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17754_x0441917E_y354163N_v1.0,,35.416288,44.19168,0.084975761,1600.85,1.1621,91.9872,312,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17783_x0445685E_y351242N_v1.0,,35.124166,44.568493,0.08374587,1687.31,1.28562,97.5155,322,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17775_x0444298E_y352473N_v1.0,,35.247283,44.429826,0.081562007,1721.18,0.788899,98.4568,324,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17756_x0442199E_y354183N_v1.0,,35.418277,44.219925,0.080230261,1711.58,1.76847,97.0968,310,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17875_x0474270E_y320952N_v1.0,,32.095181,47.426968,0.07992,1652.06,1.09747,96.3801,221,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17817_x0459638E_y313578N_v1.0,,31.357764,45.96384,0.07694889,1733.93,1.08595,65.7407,324,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17937_x0477543E_y301187N_v1.0,,30.118668,47.75431,0.075941201,1715.1,1.38184,94.2424,330,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17781_x0445196E_y360079N_v1.0,,36.007919,44.519643,0.074406626,1751.99,1.63739,97.4026,308,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17759_x0442500E_y355831N_v1.0,,35.583092,44.250047,0.073777298,1745.43,1.27836,97.7918,317,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17730_x0439489E_y358142N_v1.0,,35.814219,43.948925,0.07195477,1739.57,1.31767,97.5758,330,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17757_x0442235E_y354078N_v1.0,,35.407777,44.223517,0.068525166,1700.86,1.09221,97.3856,306,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17774_x0444200E_y354593N_v1.0,,35.459265,44.419953,0.067071311,1724.93,0.945111,97.2477,327,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17848_x0472512E_y322565N_v1.0,,32.256515,47.251155,0.066513017,1693.73,1.25424,96.1131,283,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17732_x0439955E_y357727N_v1.0,,35.772654,43.995527,0.065887799,1691.32,1.06451,96.6258,326,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17933_x0477419E_y302728N_v1.0,,30.27282,47.741854,0.065164247,1669.36,1.43885,97.3422,301,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17851_x0472818E_y319433N_v1.0,,31.943254,47.28176,0.060893973,1713.93,1.22082,91.3725,255,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17763_x0442849E_y355637N_v1.0,,35.563698,44.284919,0.057620233,1731.81,1.57839,96.5079,315,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17887_x0475204E_y321783N_v1.0,,32.178291,47.520416,0.05373096,1655.75,1.28433,93.19,279,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17699_x0435012E_y350208N_v1.0,,35.020812,43.501162,0.048756214,1630.14,1.19464,80.4487,312,refinery,2012,2012-01-01
Iraq,IRN,VNF_e2012-2015_n17891_x0475502E_y321083N_v1.0,,32.108272,47.550182,0.04739306,1657.84,1.29302,95.7597,283,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17776_x0444311E_y332824N_v1.0,,33.282421,44.431127,0.040995867,1721.44,1.44627,76.9968,313,refinery,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17828_x0462189E_y309965N_v1.0,,30.996476,46.218872,0.037838659,1654.6,1.61932,92.1708,281,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17694_x0434323E_y349112N_v1.0,,34.911243,43.432295,0.036768155,1629.14,1.84363,86.6013,306,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17710_x0437479E_y363139N_v1.0,,36.313905,43.74793,0.034954139,1785,2.1207,88.3582,335,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17795_x0451505E_y347540N_v1.0,,34.754042,45.150464,0.03327779,1730.03,1.25844,25.9819,331,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17903_x0476201E_y310662N_v1.0,,31.066192,47.620093,0.032189967,1642.36,1.52686,16.3424,257,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17680_x0426693E_y364589N_v1.0,,36.458896,42.669299,0.032151515,1592.75,1.88193,77.6119,335,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17841_x0470617E_y317935N_v1.0,,31.793466,47.061706,0.032074317,1708.43,1.31482,88.4211,285,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17740_x0440752E_y356887N_v1.0,,35.688691,44.075188,0.028849625,1689.05,0.802966,94.4984,309,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17679_x0425976E_y367219N_v1.0,,36.721903,42.597602,0.028375839,1647.72,1.12843,93.5103,339,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17909_x0476579E_y303433N_v1.0,,30.343291,47.657925,0.023975384,1720.53,2.9938,71.4765,298,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17760_x0442524E_y322285N_v1.0,,32.228458,44.252431,0.020701585,1643.7,1.44146,70.6745,341,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17798_x0452555E_y312422N_v1.0,,31.242206,45.255453,0.018958369,1670.58,1.64106,67.0588,340,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17766_x0442924E_y328400N_v1.0,,32.840023,44.292391,0.017888217,1566.04,0.818608,54.2056,321,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17782_x0445592E_y315198N_v1.0,,31.519756,44.55916,0.017871369,1715.96,0.856461,79.5322,342,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17913_x0476750E_y304242N_v1.0,,30.424202,47.674991,0.015601589,1548.7,1.6015,77.2277,303,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17738_x0440673E_y356776N_v1.0,,35.677565,44.067273,0.014223319,1667.04,0.684874,77.7419,310,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17690_x0433247E_y367759N_v1.0,,36.775917,43.324713,0.012016208,1770.04,1.70063,28.8462,312,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17678_x0423608E_y340691N_v1.0,,34.069119,42.360773,0.010000009,1632.56,1.6015,37.7581,339,refinery,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17914_x0476895E_y305821N_v1.0,,30.582053,47.689522,0.009845378,1845.34,1.6015,50,308,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17877_x0474306E_y319139N_v1.0,,31.913885,47.430574,0.00953453,1678.6,1.56747,31.8182,286,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17688_x0432751E_y358002N_v1.0,,35.800158,43.275134,0.009462732,1429.03,0.90631,52.6946,334,refinery,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17900_x0476076E_y304601N_v1.0,,30.460079,47.607568,0.009285234,1597.19,1.06149,19.7452,314,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17693_x0434301E_y368924N_v1.0,,36.892372,43.430099,0.009015745,1791.67,0.802995,12.6582,316,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17854_x0472977E_y324538N_v1.0,,32.453836,47.29773,0.00881045,1816.84,1.0867,54.6326,313,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17719_x0437996E_y359010N_v1.0,,35.900981,43.799558,0.007891172,1428.73,1.6015,6.86567,335,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17889_x0475445E_y308950N_v1.0,,30.895005,47.544516,0.005757444,1570,1.6015,15.6028,282,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17703_x0435947E_y364705N_v1.0,,36.470548,43.594704,0.005695157,1663.49,1.85307,8.02469,324,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17676_x0422628E_y369172N_v1.0,,36.917216,42.262807,0.00288813,1876.77,1.6015,17.8363,342,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17885_x0475109E_y316566N_v1.0,,31.656603,47.510911,0.002730627,1730.29,1.21205,10.4418,249,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17768_x0443039E_y355114N_v1.0,,35.511436,44.303944,0.002722153,1663,1.6015,11.5854,328,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17712_x0437569E_y348984N_v1.0,,34.898353,43.756883,0.002637129,1394.56,1.6015,6.07903,329,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17780_x0444958E_y360185N_v1.0,,36.018535,44.495846,0.002329662,1534.52,0.62366,5.14469,311,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17931_x0477379E_y302957N_v1.0,,30.295681,47.737868,0.002239461,1829.71,1.6015,16.1905,315,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17905_x0476268E_y310825N_v1.0,,31.082454,47.626818,0.001692579,1638.5,1.00222,7.53769,199,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17681_x0427923E_y371336N_v1.0,,37.13359,42.792279,0.001573679,1792.28,2.5651,9.63855,332,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17788_x0448387E_y334105N_v1.0,,33.41051,44.838701,0.001525023,1434.26,1.6015,9.03427,321,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17904_x0476229E_y304521N_v1.0,,30.452143,47.622938,0.001436081,1663.79,1.6015,5.60748,321,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17879_x0474433E_y301093N_v1.0,,30.109331,47.443338,0.001285632,1676.15,0.99334,7.52351,319,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17808_x0456980E_y324553N_v1.0,,32.455254,45.697967,0.001163512,1752.33,1.6015,5.62914,302,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17789_x0448408E_y333945N_v1.0,,33.394496,44.840757,0.001162546,1358.34,1.6015,7.05521,326,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17870_x0473681E_y306362N_v1.0,,30.636162,47.368066,0.001158046,1513.71,1.6015,6.13497,326,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17811_x0457196E_y324606N_v1.0,,32.460585,45.719574,0.00104288,1769.88,1.6015,3.93443,305,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17800_x0454459E_y354680N_v1.0,,35.46797,45.445924,0.00101862,2038,1.6015,6.25,320,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17866_x0473375E_y306501N_v1.0,,30.65005,47.337547,0.000996593,1528,1.6015,5.55556,324,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17772_x0443851E_y355703N_v1.0,,35.570335,44.385081,0.000860366,1689,1.6015,5.43807,331,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17725_x0438779E_y362298N_v1.0,,36.229842,43.877876,0.000829313,1837,1.6015,5.78035,346,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17792_x0450160E_y356778N_v1.0,,35.677798,45.01597,0.000747823,1842.96,3.33487,4.14013,314,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17722_x0438639E_y348904N_v1.0,,34.890365,43.863881,0.000744577,1658.59,1.34959,4.11765,340,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17810_x0457076E_y324594N_v1.0,,32.45938,45.707614,0.00065911,1912.5,1.6015,3.21543,311,upstream,2012,2012-01-01
Iraq,IRQ,VNF_e2012-2015_n17807_x0456636E_y324888N_v1.0,,32.488785,45.66365,0.626985951,1714.05,1.27467,98.9333,375,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17864_x0473319E_y308823N_v1.0,,30.882338,47.331895,0.528580018,1642.65,0.922732,98.3957,374,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17878_x0474361E_y316759N_v1.0,,31.675865,47.436103,0.493156818,1669.47,1.22345,98.6842,380,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17714_x0437693E_y359809N_v1.0,,35.980914,43.769292,0.488982821,1713.3,1.61125,100,398,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17869_x0473610E_y302786N_v1.0,,30.278613,47.361021,0.478600665,1606.4,0.97305,98.7437,398,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17858_x0473296E_y308263N_v1.0,,30.82631,47.329625,0.469184223,1699.86,1.01962,99.1826,367,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17862_x0473267E_y306101N_v1.0,,30.610053,47.326745,0.43011538,1654.72,1.05388,95.3431,408,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17859_x0473270E_y307636N_v1.0,,30.763569,47.327,0.423202748,1626.83,0.996542,98.4496,387,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17867_x0473381E_y303577N_v1.0,,30.357658,47.3381,0.420974855,1637.14,1.11273,98.481,395,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17871_x0473938E_y302125N_v1.0,,30.212464,47.393822,0.38315058,1612.14,1.15298,97.6923,390,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17861_x0473295E_y306873N_v1.0,,30.687289,47.32953,0.347351661,1639.62,0.90241,94.7761,402,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17898_x0475985E_y305304N_v1.0,,30.530429,47.598533,0.32219614,1706.86,1.01224,98.4211,380,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17856_x0473129E_y304968N_v1.0,,30.496803,47.312949,0.31901721,1729.95,1.26939,96.01,401,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17752_x0441555E_y354872N_v1.0,,35.487234,44.155541,0.314529136,1707.91,1.1333,98.6911,382,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17857_x0473144E_y305682N_v1.0,,30.568219,47.31436,0.295068097,1642.36,1.24046,97.0223,403,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17874_x0474138E_y301665N_v1.0,,30.166491,47.413783,0.280696575,1609.79,0.924811,97.1129,381,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17906_x0476389E_y303674N_v1.0,,30.367387,47.638937,0.269996819,1664.88,0.880569,99.2021,376,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17733_x0440087E_y356291N_v1.0,,35.629093,44.00867,0.26551579,1738.04,1.05857,99.7389,383,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17720_x0438085E_y348953N_v1.0,,34.895316,43.808546,0.252407328,1632.67,0.984254,99.4937,395,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17902_x0476081E_y304194N_v1.0,,30.419384,47.60812,0.250271603,1722.92,1.23429,100,375,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17723_x0438764E_y356853N_v1.0,,35.685305,43.876447,0.244024991,1696.69,1.06381,93.8931,393,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17786_x0448257E_y351378N_v1.0,,35.137798,44.825691,0.236947396,1777.13,2.11955,99.7396,384,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17901_x0476073E_y304872N_v1.0,,30.487245,47.607343,0.233582662,1684.59,1.0347,99.4764,382,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17923_x0477165E_y302671N_v1.0,,30.267117,47.716502,0.231149885,1671.07,0.972041,98.1771,384,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17769_x0443400E_y355305N_v1.0,,35.530549,44.339975,0.198551617,1693.67,1.11781,100,382,refinery,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17770_x0443445E_y334885N_v1.0,,33.488527,44.344495,0.177342901,1724.2,1.29029,100,370,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17817_x0459638E_y313578N_v1.0,,31.357764,45.96384,0.1768938,1733.93,1.08595,83.6735,392,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17844_x0471030E_y305642N_v1.0,,30.564248,47.103008,0.173526424,1673.02,0.97946,68.25,400,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17835_x0468377E_y303524N_v1.0,,30.352359,46.837681,0.170613432,1724.62,1.14317,64.5885,401,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17910_x0476647E_y307521N_v1.0,,30.752101,47.664686,0.1650528,1706.57,0.97043,100,379,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17873_x0474063E_y321206N_v1.0,,32.120627,47.406286,0.161736791,1714.22,1.40158,99.4898,392,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17911_x0476683E_y304553N_v1.0,,30.455334,47.668298,0.159987939,1681.54,1.236,92.1053,380,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17863_x0473292E_y305614N_v1.0,,30.561355,47.329193,0.152118107,1519.67,0.980364,98.7593,403,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17865_x0473348E_y304019N_v1.0,,30.40192,47.334762,0.148395853,1640.64,1.0116,95.9288,393,upstream,2013,2013-01-01
Iraq,IRQ,VNF_e2012-2015_n17880_x0474462E_y320603N_v1.0,,32.060303,47.446236,0.13572563,1678.11,1.34586,97.7273,396,upstream,2013,2013-01-01
