date,mean_risk,share_high95,year,month_num,month_lbl,trend_component,seasonal_component,remainder_component,risk_deseason
2018-01-01,0.00226978908440097,1,2018,1,Jan,0.00236991323108314,-2.11114332506671e-06,-9.80130033571024e-05,0.00227190022772603
2018-02-01,0.00224992194864347,1,2018,2,Feb,0.00239045086002863,-0.000111539286271717,-2.8989625113445e-05,0.00236146123491519
2018-03-01,0.00243742614950206,1,2018,3,Mar,0.00241098848897413,-0.000106876179398033,0.000133313839925966,0.00254430232890009
2018-04-01,0.00266747580668621,1,2018,4,Apr,0.00243090234487629,0.000125546509892463,0.000111026951917457,0.00254192929679375
2018-05-01,0.00252777016239043,1,2018,5,May,0.00245081620077846,0.000219690456549963,-0.000142736494937995,0.00230807970584046
2018-06-01,0.00224087089135456,1,2018,6,Jun,0.00246974762139785,-6.61729105009264e-05,-0.000162703819542365,0.00230704380185548
2018-07-01,0.00237225280114757,1,2018,7,Jul,0.00248867904201724,-0.000216337002085795,9.99107612161287e-05,0.00258858980323337
2018-08-01,0.00253210799733864,1,2018,8,Aug,0.00250629948395541,-0.000104690471733269,0.000130498985116497,0.00263679846907191
2018-09-01,0.00259264742682144,1,2018,9,Sep,0.00252391992589358,-3.1715045518215e-05,0.000100442546446072,0.00262436247233966
2018-10-01,0.00263768681916545,1,2018,10,Oct,0.00253550406015348,0.00015104654382952,-4.88637848175483e-05,0.00248664027533593
2018-11-01,0.00265286512287321,1,2018,11,Nov,0.00254708819441338,0.000151350243975515,-4.55733155156797e-05,0.0025015148788977
2018-12-01,0.00258835200215691,1,2018,12,Dec,0.00255145201945748,-8.19174418944718e-06,4.50917268888791e-05,0.00259654374634636
2019-01-01,0.00254974073150809,1,2019,1,Jan,0.00255581584450158,-2.11114332506671e-06,-3.96396966842417e-06,0.00255185187483316
2019-02-01,0.002595734719781,1,2019,2,Feb,0.00255314505844072,-0.000111539286271717,0.000154128947611991,0.00270727400605271
2019-03-01,0.00249425268328765,1,2019,3,Mar,0.00255047427237986,-0.000106876179398033,5.06545903058231e-05,0.00260112886268569
2019-04-01,0.00253833524141777,1,2019,4,Apr,0.00254888265264048,0.000125546509892463,-0.000136093921115178,0.0024127887315253
2019-05-01,0.00264410311370594,1,2019,5,May,0.0025472910329011,0.000219690456549963,-0.000122878375745122,0.00242441265715598
2019-06-01,0.00260111210941203,1,2019,6,Jun,0.00255346948344268,-6.61729105009264e-05,0.000113815536470278,0.00266728501991296
2019-07-01,0.00229657861175268,1,2019,7,Jul,0.00255964793398426,-0.000216337002085795,-4.67323201457752e-05,0.00251291561383848
2019-08-01,0.00246934320202381,1,2019,8,Aug,0.00257913744070221,-0.000104690471733269,-5.10376694512179e-06,0.00257403367375708
2019-09-01,0.0023951488192084,1,2019,9,Sep,0.00259862694742016,-3.1715045518215e-05,-0.000171763082693539,0.00242686386472662
2019-10-01,0.00268912713343132,1,2019,10,Oct,0.00262339232843527,0.00015104654382952,-8.53117388334764e-05,0.0025380805896018
2019-11-01,0.00271595378604866,1,2019,11,Nov,0.00264815770945039,0.000151350243975515,-8.35541673772418e-05,0.00256460354207315
2019-12-01,0.0026656098763076,1,2019,12,Dec,0.00266413738768981,-8.19174418944718e-06,9.66423280723697e-06,0.00267380162049705
2020-01-01,0.00280853741682065,1,2020,1,Jan,0.00268011706592923,-2.11114332506671e-06,0.000130531494216488,0.00281064856014572
2020-02-01,0.00288425731592125,1,2020,2,Feb,0.00269147874282196,-0.000111539286271717,0.000304317859371004,0.00299579660219297
2020-03-01,0.00305414508093304,1,2020,3,Mar,0.00270284041971469,-0.000106876179398033,0.000458180840616374,0.00316102126033107
2020-04-01,0.00293739875376278,1,2020,4,Apr,0.0027078403311134,0.000125546509892463,0.000104011912756921,0.00281185224387032
2020-05-01,0.00280870268938047,1,2020,5,May,0.0027128402425121,0.000219690456549963,-0.000123828009681595,0.00258901223283051
2020-06-01,0.00266893038153274,1,2020,6,Jun,0.00269967311342437,-6.61729105009264e-05,3.54301786093009e-05,0.00273510329203367
2020-07-01,0.00242637538437235,1,2020,7,Jul,0.00268650598433663,-0.000216337002085795,-4.37935978784862e-05,0.00264271238645815
2020-08-01,0.00260121349086403,1,2020,8,Aug,0.00264969300356565,-0.000104690471733269,5.62109590316424e-05,0.0027059039625973
2020-09-01,0.00262098126206127,1,2020,9,Sep,0.00261288002279468,-3.1715045518215e-05,3.9816284784814e-05,0.00265269630757949
2020-10-01,0.00271713547550837,1,2020,10,Oct,0.00257755358980511,0.00015104654382952,-1.14646581262528e-05,0.00256608893167885
2020-11-01,0.00272922579242264,1,2020,11,Nov,0.00254222715681554,0.000151350243975515,3.56483916315892e-05,0.00257787554844713
2020-12-01,0.00263775038332456,1,2020,12,Dec,0.00252367406588107,-8.19174418944718e-06,0.000122268061632934,0.002645942127514
2021-01-01,0.00192271061828488,1,2021,1,Jan,0.0025051209749466,-2.11114332506671e-06,-0.000580299213336657,0.00192482176160994
2021-02-01,0.00216409148602534,1,2021,2,Feb,0.00249364724833769,-0.000111539286271717,-0.000218016476040633,0.00227563077229706
2021-03-01,0.00204780457308263,1,2021,3,Mar,0.00248217352172879,-0.000106876179398033,-0.00032749276924812,0.00215468075248067
2021-04-01,0.0024165407506587,1,2021,4,Apr,0.00247584681130913,0.000125546509892463,-0.00018485257054289,0.00229099424076624
2021-05-01,0.00271995919487769,1,2021,5,May,0.00246952010088947,0.000219690456549963,3.07486374382516e-05,0.00250026873832772
2021-06-01,0.00245912515407802,1,2021,6,Jun,0.0024690301345896,-6.61729105009264e-05,5.62679299893495e-05,0.00252529806457895
2021-07-01,0.00234243531635446,1,2021,7,Jul,0.00246854016828972,-0.000216337002085795,9.02321501505278e-05,0.00255877231844025
2021-08-01,0.00237172230091477,1,2021,8,Aug,0.00246258877942877,-0.000104690471733269,1.38239932192712e-05,0.00247641277264804
2021-09-01,0.00252881888117516,1,2021,9,Sep,0.00245663739056781,-3.1715045518215e-05,0.000103896536125565,0.00256053392669337
2021-10-01,0.00283792748658739,1,2021,10,Oct,0.0024399951504262,0.00015104654382952,0.000246885792331669,0.00268688094275787
2021-11-01,0.00275921801726417,1,2021,11,Nov,0.00242335291028459,0.000151350243975515,0.000184514863004073,0.00260786777328866
2021-12-01,0.00243697730847126,1,2021,12,Dec,0.00239861910949818,-8.19174418944718e-06,4.65499431625289e-05,0.00244516905266071
2022-01-01,0.00208231925094799,1,2022,1,Jan,0.00237388530871177,-2.11114332506671e-06,-0.000289454914438716,0.00208443039427306
2022-02-01,0.00188067503498092,1,2022,2,Feb,0.00233784549812498,-0.000111539286271717,-0.000345631176872342,0.00199221432125264
2022-03-01,0.00214724617713532,1,2022,3,Mar,0.00230180568753819,-0.000106876179398033,-4.76833310048344e-05,0.00225412235653335
2022-04-01,0.00240091179126795,1,2022,4,Apr,0.002263920867011,0.000125546509892463,1.14444143644856e-05,0.00227536528137548
2022-05-01,0.00262782988823797,1,2022,5,May,0.00222603604648381,0.000219690456549963,0.000182103385204191,0.002408139431688
2022-06-01,0.00217455153779337,1,2022,6,Jun,0.00220512880102453,-6.61729105009264e-05,3.55956472697684e-05,0.0022407244482943
2022-07-01,0.000523216679131222,1,2022,7,Jul,0.00218422155556525,-0.000216337002085795,-0.00144466787434823,0.000739553681217018
