lon,lat,year,detections,mean_volume,mean_temp,mean_dtc_freq,mean_clr_obs,detections_total,first_year,last_year
43.789665,36.132338,2014,1,0.000783191,1747.03,4.60048,413,3,2014,2016
43.789665,36.132338,2015,1,0.008836545,1747.03,25.8312,391,3,2014,2016
43.789665,36.132338,2016,1,0.019075634,1747.03,57.868,394,3,2014,2016
43.808546,34.895316,2012,1,0.267373248,1632.67,98.7179,312,4,2012,2015
43.808546,34.895316,2013,1,0.252407328,1632.67,99.4937,395,4,2012,2015
43.808546,34.895316,2014,1,0.088608195,1632.67,67.9901,403,4,2012,2015
43.808546,34.895316,2015,1,0.019585789,1632.67,9.77444,399,4,2012,2015
43.863881,34.890365,2012,1,0.000744577,1658.59,4.11765,340,3,2012,2016
43.863881,34.890365,2015,1,0.080492971,1658.59,30.75,400,3,2012,2016
43.863881,34.890365,2016,1,0.227024321,1658.59,99.7396,384,3,2012,2016
43.875878,34.886336,2015,1,0.053729199,1634.32,30.8458,402,2,2015,2016
43.875878,34.886336,2016,1,0.158792392,1634.32,99.7416,387,2,2015,2016
43.876447,35.685305,2012,1,0.329948267,1696.69,98.4894,331,5,2012,2016
43.876447,35.685305,2013,1,0.244024991,1696.69,93.8931,393,5,2012,2016
43.876447,35.685305,2014,1,0.112888116,1696.69,48.2412,398,5,2012,2016
43.876447,35.685305,2015,1,0.261608906,1696.69,87.3995,373,5,2012,2016
43.876447,35.685305,2016,1,0.419815412,1696.69,93.6869,396,5,2012,2016
43.893816,34.875339,2015,1,0.049035948,1728.02,33.5821,402,2,2015,2016
43.893816,34.875339,2016,1,0.125071665,1728.02,99.7403,385,2,2015,2016
43.948925,35.814219,2012,1,0.07195477,1739.57,97.5758,330,5,2012,2016
43.948925,35.814219,2013,1,0.057152346,1739.57,95.443,395,5,2012,2016
43.948925,35.814219,2014,1,0.028332103,1739.57,48.7437,398,5,2012,2016
43.948925,35.814219,2015,1,0.056982979,1739.57,94.2708,384,5,2012,2016
43.948925,35.814219,2016,1,0.052661337,1739.57,93.75,384,5,2012,2016
43.965827,35.662282,2012,1,0.127589272,1742.71,99.6904,323,5,2012,2016
43.965827,35.662282,2013,1,0.086142249,1742.71,97.1429,385,5,2012,2016
43.965827,35.662282,2014,1,0.072155838,1742.71,92.0398,402,5,2012,2016
43.965827,35.662282,2015,1,0.078166158,1742.71,91.8478,368,5,2012,2016
43.965827,35.662282,2016,1,0.180032516,1742.71,92.7273,385,5,2012,2016
43.995527,35.772654,2012,1,0.065887799,1691.32,96.6258,326,5,2012,2016
43.995527,35.772654,2013,1,0.068666353,1691.32,98.4293,382,5,2012,2016
43.995527,35.772654,2014,1,0.042745893,1691.32,87.5931,403,5,2012,2016
43.995527,35.772654,2015,1,0.085421046,1691.32,98.4127,378,5,2012,2016
43.995527,35.772654,2016,1,0.077261792,1691.32,94.7507,381,5,2012,2016
44.00867,35.629093,2012,1,0.218985708,1738.04,99.0798,326,5,2012,2016
44.00867,35.629093,2013,1,0.26551579,1738.04,99.7389,383,5,2012,2016
44.00867,35.629093,2014,1,0.077899046,1738.04,70.3518,398,5,2012,2016
44.00867,35.629093,2015,1,0.337227811,1738.04,95.4178,371,5,2012,2016
44.00867,35.629093,2016,1,0.261166556,1738.04,86.7684,393,5,2012,2016
44.031339,34.86095,2014,1,0.006616548,1326.74,21.4834,391,3,2014,2016
44.031339,34.86095,2015,1,0.092504512,1326.74,67.7003,387,3,2014,2016
44.031339,34.86095,2016,1,0.131544589,1326.74,99.7368,380,3,2014,2016
44.034543,34.841835,2015,1,0.004472517,1393.74,18.4615,390,2,2015,2016
44.034543,34.841835,2016,1,0.026611224,1393.74,95.8333,384,2,2015,2016
44.036682,35.726881,2012,1,0.090207346,1644.65,98.4326,319,5,2012,2016
44.036682,35.726881,2013,1,0.058935834,1644.65,97.1722,389,5,2012,2016
44.036682,35.726881,2014,1,0.079736837,1644.65,96.3918,388,5,2012,2016
44.036682,35.726881,2015,1,0.247174568,1644.65,100,370,5,2012,2016
44.036682,35.726881,2016,1,0.179408178,1644.65,99.4681,376,5,2012,2016
44.067273,35.677565,2012,1,0.014223319,1667.04,77.7419,310,5,2012,2016
44.067273,35.677565,2013,1,0.02341753,1667.04,95.2756,381,5,2012,2016
44.067273,35.677565,2014,1,0.021241298,1667.04,92.7861,402,5,2012,2016
44.067273,35.677565,2015,1,0.022319405,1667.04,96.5608,378,5,2012,2016
44.067273,35.677565,2016,1,0.025473766,1667.04,94.723,379,5,2012,2016
44.071576,36.690793,2014,1,0.001146552,1914.21,4.81013,395,2,2014,2015
44.071576,36.690793,2015,1,0.008866191,1914.21,33.871,372,2,2014,2015
44.075188,35.688691,2012,1,0.028849625,1689.05,94.4984,309,5,2012,2016
44.075188,35.688691,2013,1,0.029174798,1689.05,93.5567,388,5,2012,2016
44.075188,35.688691,2014,1,0.023304345,1689.05,71.1779,399,5,2012,2016
44.075188,35.688691,2015,1,0.035890207,1689.05,98.6737,377,5,2012,2016
44.075188,35.688691,2016,1,0.027994954,1689.05,94.832,387,5,2012,2016
44.115168,36.03603,2013,1,0.001110823,1739.67,4.34783,391,2,2013,2015
44.115168,36.03603,2015,1,0.000688061,1739.67,3.10078,387,2,2013,2015
44.127629,34.779063,2015,1,0.015272454,1390.39,18.5279,394,2,2015,2016
44.127629,34.779063,2016,1,0.007464409,1390.39,37.3711,388,2,2015,2016
44.155541,35.487234,2012,1,0.334703453,1707.91,98.4227,317,5,2012,2016
44.155541,35.487234,2013,1,0.314529136,1707.91,98.6911,382,5,2012,2016
44.155541,35.487234,2014,1,0.0802875,1707.91,49.7368,380,5,2012,2016
44.155541,35.487234,2015,1,0.137174201,1707.91,91.3043,345,5,2012,2016
44.155541,35.487234,2016,1,0.115301226,1707.91,99.1979,374,5,2012,2016
44.19168,35.416288,2012,1,0.084975761,1600.85,91.9872,312,5,2012,2016
44.19168,35.416288,2013,1,0.052415652,1600.85,98.6807,379,5,2012,2016
44.19168,35.416288,2014,1,0.027053339,1600.85,90.8616,383,5,2012,2016
44.19168,35.416288,2015,1,0.024674778,1600.85,88.4298,363,5,2012,2016
44.19168,35.416288,2016,1,0.02539102,1600.85,87.3684,380,5,2012,2016
44.217423,35.385199,2012,1,0.096141936,1629.24,98.7055,309,5,2012,2016
44.217423,35.385199,2013,1,0.09019766,1629.24,98.4043,376,5,2012,2016
44.217423,35.385199,2014,1,0.075592194,1629.24,99.2188,384,5,2012,2016
44.217423,35.385199,2015,1,0.074456526,1629.24,99.1573,356,5,2012,2016
44.217423,35.385199,2016,1,0.078223397,1629.24,99.4737,380,5,2012,2016
44.219925,35.418277,2012,1,0.080230261,1711.58,97.0968,310,4,2012,2015
44.219925,35.418277,2013,1,0.061029583,1711.58,98.6807,379,4,2012,2015
44.219925,35.418277,2014,1,0.060180695,1711.58,97.6127,377,4,2012,2015
44.219925,35.418277,2015,1,0.052816614,1711.58,90.7781,347,4,2012,2015
44.223517,35.407777,2012,1,0.068525166,1700.86,97.3856,306,4,2012,2015
44.223517,35.407777,2013,1,0.083887058,1700.86,98.1183,372,4,2012,2015
44.223517,35.407777,2014,1,0.060454265,1700.86,98.6631,374,4,2012,2015
44.223517,35.407777,2015,1,0.084473825,1700.86,99.1304,345,4,2012,2015
44.250047,35.583092,2012,1,0.073777298,1745.43,97.7918,317,5,2012,2016
44.250047,35.583092,2013,1,0.040279361,1745.43,91.5567,379,5,2012,2016
44.250047,35.583092,2014,1,0.006152624,1745.43,15.9794,388,5,2012,2016
44.250047,35.583092,2015,1,0.028793708,1745.43,76.5172,379,5,2012,2016
44.250047,35.583092,2016,1,0.049350025,1745.43,90.7407,378,5,2012,2016
44.252431,32.228458,2012,1,0.020701585,1643.7,70.6745,341,5,2012,2016
44.252431,32.228458,2013,1,0.024186402,1643.7,77.193,399,5,2012,2016
44.252431,32.228458,2014,1,0.025145189,1643.7,78.7724,391,5,2012,2016
44.252431,32.228458,2015,1,0.020128673,1643.7,69.8734,395,5,2012,2016
44.252431,32.228458,2016,1,0.02213451,1643.7,70.8333,384,5,2012,2016
44.261739,33.44419,2013,1,0.003454613,1599.93,11.2565,382,4,2013,2016
44.261739,33.44419,2014,1,0.002425242,1599.93,11.4754,366,4,2013,2016
44.261739,33.44419,2015,1,0.006064623,1599.93,18.1818,385,4,2013,2016
44.261739,33.44419,2016,1,0.002380875,1599.93,8.8,375,4,2013,2016
44.268455,35.556386,2012,1,0.096046538,1697.27,98.4472,322,5,2012,2016
44.268455,35.556386,2013,1,0.10428798,1697.27,98.1333,375,5,2012,2016
44.268455,35.556386,2014,1,0.080749809,1697.27,97.7157,394,5,2012,2016
44.268455,35.556386,2015,1,0.070304251,1697.27,99.4667,375,5,2012,2016
44.268455,35.556386,2016,1,0.036523057,1697.27,61.1702,376,5,2012,2016
44.284919,35.563698,2012,1,0.057620233,1731.81,96.5079,315,5,2012,2016
44.284919,35.563698,2013,1,0.052353424,1731.81,89.9743,389,5,2012,2016
44.284919,35.563698,2014,1,0.029004492,1731.81,82.8283,396,5,2012,2016
44.284919,35.563698,2015,1,0.030971818,1731.81,90.4393,387,5,2012,2016
44.284919,35.563698,2016,1,0.054016858,1731.81,96.8,375,5,2012,2016
44.292391,32.840023,2012,1,0.017888217,1566.04,54.2056,321,5,2012,2016
44.292391,32.840023,2013,1,0.018422442,1566.04,54.7315,391,5,2012,2016
44.292391,32.840023,2014,1,0.016211867,1566.04,47.0745,376,5,2012,2016
44.292391,32.840023,2015,1,0.015896381,1566.04,49.6063,381,5,2012,2016
44.292391,32.840023,2016,1,0.009125584,1566.04,40.7895,380,5,2012,2016
44.339975,35.530549,2012,1,0.335490114,1693.67,99.6894,322,5,2012,2016
44.339975,35.530549,2013,1,0.198551617,1693.67,100,382,5,2012,2016
