date,year,month,mean_risk,p95_risk,p99_risk,active_share,strict_active_share,n_grids,value,observed,seasonal,trend,remainder,deseasoned,deseasoned_ma3
2018-01-01,2018,1,0.002269789084401,0.000178284899269032,0.011014948859166,0.00261541509807807,0.00606300772736279,50470,0.000178284899269032,0.000178284899269032,1.40386653688934e-05,0.000185582832205338,-2.13365983051996e-05,0.000164246233900139,
2018-02-01,2018,2,0.00224992194864351,0.000178284899269032,0.011014948859166,0.00245690509213394,0.00592431147216168,50470,0.000178284899269032,0.000178284899269032,1.69926015972474e-05,0.00016807186726069,-6.77956958890528e-06,0.000161292297671784,0.000161292297671785
2018-03-01,2018,3,0.0024374261495021,0.000178284899269032,0.011014948859166,0.00251634634436299,0.00689518525856945,50470,0.000178284899269032,0.000178284899269032,1.99465378256015e-05,0.000150560902316041,7.77745912738912e-06,0.00015833836144343,0.000167203757819705
2018-04-01,2018,4,0.00266747580668622,0.000178284899269032,0.011014948859166,0.00281355260550822,0.00723201902120071,50470,0.000178284899269032,0.000178284899269032,-3.69571507486662e-06,0.00013353779880217,4.84428155417283e-05,0.000181980614343899,0.000165001075899241
2018-05-01,2018,5,0.00252777016239046,0.000178284899269032,0.011014948859166,0.00261541509807807,0.0064592827422231,50470,0.000178284899269032,0.000178284899269032,2.36006473586372e-05,0.000116514695288299,3.81695566220956e-05,0.000154684251910395,0.000154782343924728
2018-06-01,2018,6,0.0022408708913546,0.000178284899269032,0.011014948859166,0.00241727759064791,0.00653853774519517,50470,0.000178284899269032,0.000178284899269032,5.06027337491415e-05,0.000100207703004775,2.74744625151152e-05,0.00012768216551989,0.000102212891167169
2018-07-01,2018,7,0.00237225280114759,0,0.00429799426934097,0.00267485635030711,0.00517138894392709,50470,0,0,-2.4272256071222e-05,8.39007107212512e-05,-5.96284546500293e-05,2.4272256071222e-05,5.82298259597971e-05
2018-08-01,2018,8,0.00253210799733867,0,0.000734753857457752,0.00287299385773727,0.00509213394095502,50470,0,0,-2.2735056288279e-05,6.76668496998297e-05,-4.49317934115507e-05,2.2735056288279e-05,2.2735056288279e-05
2018-09-01,2018,9,0.00259264742682147,0,0.000734753857457752,0.00295224886070933,0.00507232019021201,50470,0,0,-2.1197856505336e-05,5.14329886784081e-05,-3.02351321730721e-05,2.1197856505336e-05,2.10960731062568e-05
2018-10-01,2018,10,0.00263768681916549,0,0.00429799426934097,0.00301169011293838,0.00509213394095502,50470,0,0,-1.93553065251553e-05,3.59515040866596e-05,-1.65961975615044e-05,1.93553065251553e-05,1.93553065251553e-05
2018-11-01,2018,11,0.00265286512287325,0,0.00429799426934097,0.00301169011293838,0.00544878145432931,50470,0,0,-1.75127565449745e-05,2.04700194949111e-05,-2.9572629499366e-06,1.75127565449745e-05,1.77600955287884e-05
2018-12-01,2018,12,0.00258835200215695,0,0.00583657587548638,0.00289280760848029,0.00527045769764216,50470,0,0,-1.64122235162355e-05,1.16667781810505e-05,4.74544533518496e-06,1.64122235162355e-05,6.62877156410553e-06
2019-01-01,2019,1,0.00254974073150813,0,0.00583657587548638,0.00279373885476521,0.00538934020210026,50470,0,0,1.40386653688934e-05,2.86353686718984e-06,-1.69022022360833e-05,-1.40386653688934e-05,-4.8730144833018e-06
2019-02-01,2019,2,0.00259573471978103,0,0.00429799426934097,0.00285318010699425,0.00525064394689915,50470,0,0,1.69926015972474e-05,3.58691674774986e-07,-1.73512932720224e-05,-1.69926015972474e-05,-1.69926015972474e-05
2019-03-01,2019,3,0.00249425268328768,0,0.00429799426934097,0.00267485635030711,0.00525064394689915,50470,0,0,1.99465378256015e-05,-2.14615351763987e-06,-1.78003843079616e-05,-1.99465378256015e-05,-1.10811414493274e-05
2019-04-01,2019,4,0.0025383352414178,0,0.000734753857457752,0.00283336635625124,0.00509213394095502,50470,0,0,-3.69571507486662e-06,-1.91422898294952e-06,5.60994405781615e-06,3.69571507486663e-06,-1.32838233697907e-05
2019-05-01,2019,5,0.00264410311370596,0,0.00429799426934097,0.00295224886070933,0.00523083019615613,50470,0,0,2.36006473586372e-05,-1.68230444825918e-06,-2.1918342910378e-05,-2.36006473586372e-05,-2.3502555344304e-05
2019-06-01,2019,6,0.00260111210941207,0,0.00666222518321119,0.00305131761442441,0.00560729146027343,50470,0,0,5.06027337491415e-05,-7.1316195636083e-07,-4.98895717927807e-05,-5.06027337491415e-05,-1.66437083455189e-05
2019-07-01,2019,7,0.0022965786117527,0,0.00429799426934097,0.00275411135327918,0.00487418268278185,50470,0,0,-2.4272256071222e-05,2.55980535537521e-07,2.40162755356844e-05,2.4272256071222e-05,-1.19847379654684e-06
2019-08-01,2019,8,0.00246934320202385,0,0.000734753857457752,0.00287299385773727,0.00483455518129582,50470,0,0,-2.2735056288279e-05,1.08850580001832e-06,2.16465504882607e-05,2.2735056288279e-05,2.2735056288279e-05
2019-09-01,2019,9,0.00239514881920843,0,0.000734753857457752,0.00289280760848029,0.00471567267683773,50470,0,0,-2.1197856505336e-05,1.92103106449911e-06,1.92768254408369e-05,2.1197856505336e-05,2.10960731062568e-05
2019-10-01,2019,10,0.00268912713343135,0,0.00583657587548638,0.00309094511591044,0.0055676639587874,50470,0,0,-1.93553065251553e-05,1.84839733966685e-06,1.75069091854884e-05,1.93553065251553e-05,1.93553065251553e-05
2019-11-01,2019,11,0.0027159537860487,0,0.00583657587548638,0.00311075886665346,0.00552803645730137,50470,0,0,-1.75127565449745e-05,1.77576361483459e-06,1.573699293014e-05,1.75127565449745e-05,1.77600955287884e-05
2019-12-01,2019,12,0.00266560987630764,0,0.00666222518321119,0.00301169011293838,0.00562710521101645,50470,0,0,-1.64122235162355e-05,8.23290089111231e-07,1.55889334271242e-05,1.64122235162355e-05,6.62877156410554e-06
2020-01-01,2020,1,0.00280853741682068,0,0.00666222518321119,0.00301169011293838,0.00616207648107787,50470,0,0,1.40386653688934e-05,-1.29183436612124e-07,-1.39094819322813e-05,-1.40386653688934e-05,-4.8730144833018e-06
2020-02-01,2020,2,0.00288425731592127,0,0.00666222518321119,0.00322964137111155,0.00638002773925104,50470,0,0,1.69926015972474e-05,-1.13766799495336e-06,-1.58549336022941e-05,-1.69926015972474e-05,-1.69926015972474e-05
2020-03-01,2020,3,0.00305414508093306,0,0.011014948859166,0.00350703388151377,0.00693481276005548,50470,0,0,1.99465378256015e-05,-2.14615255329459e-06,-1.78003852723069e-05,-1.99465378256015e-05,-1.10811414493274e-05
2020-04-01,2020,4,0.00293739875376281,0,0.00666222518321119,0.0032890826233406,0.0064592827422231,50470,0,0,-3.69571507486662e-06,-1.68847743991627e-06,5.38419251478289e-06,3.69571507486662e-06,-1.32838233697907e-05
2020-05-01,2020,5,0.00280870268938049,0,0.00666222518321119,0.00299187636219536,0.00639984148999406,50470,0,0,2.36006473586372e-05,-1.23080232653795e-06,-2.23698450320992e-05,-2.36006473586372e-05,-2.3502555344304e-05
2020-06-01,2020,6,0.00266893038153278,0,0.011014948859166,0.0029126213592233,0.00665742024965326,50470,0,0,5.06027337491415e-05,3.99159945817047e-06,-5.4594333207312e-05,-5.06027337491415e-05,-1.66437083455189e-05
2020-07-01,2020,7,0.00242637538437239,0,0.00429799426934097,0.00295224886070933,0.00513176144244105,50470,0,0,-2.4272256071222e-05,9.21400124287889e-06,1.50582548283431e-05,2.4272256071222e-05,-1.19847379654684e-06
2020-08-01,2020,8,0.00260121349086407,0,0.00429799426934097,0.00301169011293838,0.00497325143649693,50470,0,0,-2.2735056288279e-05,2.01410680145907e-05,2.59398827368829e-06,2.2735056288279e-05,2.2735056288279e-05
2020-09-01,2020,9,0.00262098126206131,0,0.000734753857457752,0.00309094511591044,0.00509213394095502,50470,0,0,-2.1197856505336e-05,3.10681347863025e-05,-9.87027828096649e-06,2.1197856505336e-05,2.10960731062568e-05
2020-10-01,2020,10,0.00271713547550841,0,0.00666222518321119,0.00307113136516743,0.00558747770953041,50470,0,0,-1.93553065251553e-05,4.3095691529638e-05,-2.37403850044827e-05,1.93553065251553e-05,1.93553065251553e-05
2020-11-01,2020,11,0.00272922579242267,0,0.00666222518321119,0.00309094511591044,0.0058252427184466,50470,0,0,-1.75127565449745e-05,5.51232482729735e-05,-3.7610491727999e-05,1.75127565449745e-05,1.77600955287884e-05
2020-12-01,2020,12,0.0026377503833246,0,0.00583657587548638,0.00301169011293838,0.00568654646324549,50470,0,0,-1.64122235162355e-05,6.42258838913271e-05,-4.78136603750916e-05,1.64122235162354e-05,6.60570713204495e-05
2021-01-01,2021,1,0.00192271061828492,0.000178284899269032,0.00666222518321119,0.00198137507430157,0.00570636021398851,50470,0.000178284899269032,0.000178284899269032,1.40386653688934e-05,7.33285195096806e-05,9.09177143904579e-05,0.000164246233900139,0.000113983585029386
